Manager	Package	Version	ReleaseDate	Dependencies
languages	python	3.11.0	2022-10-25	
languages	r-base	3.6.2	2019-12-12	_r-mutex;bwidget;bzip2;cairo;clang_osx-64;clangxx_osx-64;curl;freetype;gcc_linux-64;gfortran_linux-64;gfortran_osx-64;glib;gsl;gxx_linux-64;icu;jpeg;krb5;libblas;libcurl;libcxx;libgcc-ng;libgfortran;libgfortran-ng;libiconv;liblapack;libpng;libssh2;libstdcxx-ng;libtiff;libuuid;libxml2;llvm-openmp;m2w64-bwidget;m2w64-bzip2;m2w64-fftw;m2w64-gcc-libs;m2w64-gmp;m2w64-gsl;m2w64-libiconv;m2w64-libjpeg-turbo;m2w64-libpng;m2w64-libsndfile;m2w64-libtiff;m2w64-libxml2;m2w64-mpfr;m2w64-pcre;m2w64-tk;m2w64-tktable;m2w64-xz;m2w64-zlib;make;msys2-conda-epoch;pango;pcre;readline;sed;tk;tktable;xz;zlib
conda	binutils	2.36.1	2021-06-30	binutils_impl_linux-64;binutils_impl_linux-aarch64;binutils_impl_linux-ppc64le;binutils_impl_linux-s390x
conda	binutils_impl_linux-64	2.36.1	2021-06-30	ld_impl_linux-64;sysroot_linux-64
conda	binutils_linux-64	2.36	2021-07-02	binutils_impl_linux-64;sysroot_linux-64;sysroot_linux-aarch64;sysroot_linux-ppc64le;sysroot_linux-s390x
conda	blis	0.7.0	2020-04-07	libgcc-ng;vc;vs2015_runtime
conda	bwidget	1.10.1	2024-12-10	
conda	bzip2	1.0.8	2019-07-15	libgcc-ng;vc;vs2015_runtime
conda	c-compiler	1.1.2	2020-11-15	binutils;cctools;clang_osx-64;clang_osx-arm64;gcc_linux-64;gcc_linux-aarch64;gcc_linux-ppc64le;ld64;libgcc-ng;llvm-openmp;vc;vs2015_runtime;vs2017_win-64
conda	ca-certificates	2026.1.4	2026-01-04	
conda	cairo	1.16.0	2019-01-05	fontconfig;fonts-conda-ecosystem;freetype;glib;icu;libgcc-ng;libglib;libpng;libxcb;libzlib;pixman;vc;vs2015_runtime;xorg-libice;xorg-libsm;xorg-libx11;xorg-libxext;xorg-libxrender;zlib
conda	curl	7.68.0	2020-02-05	krb5;libcurl;libgcc-ng;libssh2;vc;vs2015_runtime;zlib
conda	cxx-compiler	1.1.2	2020-11-15	c-compiler;clangxx_osx-64;clangxx_osx-arm64;gxx_linux-64;gxx_linux-aarch64;gxx_linux-ppc64le;libcxx;libgcc-ng;libstdcxx-ng;vc;vs2015_runtime;vs2017_win-64
conda	expat	2.7.4	2026-02-16	
conda	fontconfig	2.14.2	2023-01-27	
conda	freetype	2.12.1	2022-08-15	libgcc-ng;libpng;libzlib;vc;vs2015_runtime
conda	fribidi	1.0.16	2025-09-09	
conda	gcc_impl_linux-64	7.5.0	2020-05-14	binutils_impl_linux-64;libgcc-devel_linux-64;libgcc-ng;libgomp;libstdcxx-ng;sysroot_linux-64
